Product,Current price,old price,Discount Amount,Discount,Performance Discount,Review,Performance,Ratings,
32PCS Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,3750,6143,2393,39%,Medium Discount,-5,Average,3.0,
"Konka Healty Electric Kettle, 24-hour Heat Preservation,1.5L,800W, White",3640,4588,948,21%,Medium Discount,-1,Excellent,5.0,
"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter",2999,3290,291,9%,low Discount,-15,Average,4.0,
LED Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,2999,3699,700,19%,low Discount,-5,Excellent,4.6,
Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,2880,3520,640,18%,low Discount,-12,Average,3.8,
137 Pieces Cake Decorating Tool Set Baking Supplies,2319,3032,713,24%,Medium Discount,-55,Excellent,4.6,
Large Lazy Inflatable Sofa Chairs PVC Lounger Seat Bag,2300,3240,940,29%,Medium Discount,-5,Average,3.0,
Portable Mini Cordless Car Vacuum Cleaner - Blue,2199,2923,724,25%,Medium Discount,-24,Excellent,4.6,
5 Pieces/set Of Stainless Steel Induction Cooker Pots,2170,2500,330,13%,low Discount,-6,Poor,2.5,
5-PCS Stainless Steel Cooking Pot Set With Steamed Slices,2115,4700,2585,55%,High Discount,-13,Poor,2.1,
LASA 3 Tier Bamboo Shoe Bench Storage Shelf,2048,4500,2452,54%,High Discount,-7,Excellent,4.3,
LASA Aluminum Folding Truck Hand Cart - 68kg Max,2025,3971,1946,49%,High Discount,-3,Excellent,5.0,
53 Pieces/Set Yarn Knitting Crochet Hooks With Bag - Pansies,1980,2699,719,27%,Medium Discount,-32,Excellent,4.5,
53Pcs/Set Yarn Knitting Crochet Hooks With Bag - Fortune Cat,1940,2650,710,27%,Medium Discount,-20,Excellent,4.7,
"LED Eye Protection  Desk Lamp , Study, Reading, USB Fan - Double Pen Holder",1820,3490,1670,48%,High Discount,-9,Excellent,4.3,
"1/2/3 Seater Elastic Sofa Cover,Living Room/Home Decor Chair Cover-Grey",1800,2700,900,38%,Medium Discount,-2,Excellent,4.5,
52 Pieces Cake Decorating Tool Set Gift Kit Baking Supplies,1758,2499,741,30%,Medium Discount,-20,Excellent,4.1,
Portable Home Small Air Humidifier 3-Speed Fan - Green,1740,2356,616,26%,Medium Discount,-5,Excellent,4.8,
Multifunction Laser Level With Adjustment Tripod,1680,2499,819,33%,Medium Discount,-9,Excellent,4.2,
Foldable Overbed Table/Desk,1650,2150,500,23%,Medium Discount,-14,Excellent,4.4,
"DIY File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack",1620,2690,1070,40%,Medium Discount,-1,Excellent,5.0,
"4pcs Bathroom/Kitchen Towel Rack,Roll Paper Holder,Towel Bars,Hook",1860,3220,,42%,,,,,
13 In 1 Home Repair Tools Box Kit Set,1600,2929,1329,45%,High Discount,-5,Average,3.8,
Weighing Scale Digital Bathroom Body Fat Scale USB-Black,1580,2499,919,37%,Medium Discount,-7,Excellent,4.7,
"Electric LED UV Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -USB",1570,2988,1418,47%,High Discount,-7,Poor,2.1,
12 Litre Black Insulated Lunch Box,1350,1990,640,32%,Medium Discount,-13,Average,3.8,
LASA FOLDING TABLE SERVING STAND,1274,2800,1526,55%,High Discount,-5,Excellent,4.8,
VIC Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,1220,1555,335,22%,Medium Discount,-16,Poor,2.9,
"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30cm",1189,2199,1010,46%,High Discount,-1,Average,3.0,
MultiFunctional Storage Rack Multi-layer Bookshelf,2200,4080,,46%,,,,,
380ML USB Rechargeable Portable Small Blenders And Juicers,1000,2000,1000,50%,High Discount,-7,Poor,2.3,
3D Waterproof EVA Plastic Shower Curtain 1.8*2Mtrs,998,1966,968,49%,High Discount,-44,Excellent,4.6,
100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,990,1500,510,34%,Medium Discount,-39,Excellent,4.7,
Artificial Potted Flowers Room Decorative Flowers (2 Pieces),990,1814,824,45%,High Discount,-6,Poor,2.2,
Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,988,1580,592,37%,Medium Discount,-2,Average,4.0,
12 Litre Insulated Lunch Box Grey,980,1490,510,34%,Medium Discount,-12,Excellent,4.7,
Bedroom Simple Floor Hanging Clothes Rack Single Pole Hat Rack - White,979,1920,941,49%,High Discount,-1,Excellent,5.0,
"7-piece Set Of Storage Bags, Travel Storage Bags, Shoe Bags",968,1814,846,47%,High Discount,-6,Poor,2.2,
